text,label
that’s pathetic,0
really puke man,0
hate today,0
totally prick,0
you joy,1
that’s failure please,0
slob man,0
that’s douche,0
you get lost,0
totally enjoy,1
you lame,0
this is success,1
weird please,0
I shut up dude,0
fool,0
so lazy,0
I hope now,1
very shut up,0
very sucks .,0
you inspiring,1
bullshit,0
very team,1
totally motivating man,1
this is psycho now,0
joy please,1
so nice day today,1
that’s best wishes please,1
you suck man,0
totally pathetic,0
stupid,0
that’s joy,1
positive dude,1
you dumb,0
beautiful please,1
very cute,1
welcome now,1
crap .,0
shut up today,0
really slob,0
smile !,1
so success,1
you peace,1
this is cheers dude,1
that’s psycho,0
cheers please,1
that’s welcome,1
you you suck .,0
hate !,0
hello now,1
weird .,0
ugly please,0
this is trash,0
totally cool today,1
that’s pathetic dude,0
this is smart,1
so wow today,1
creep today,0
great,1
clever now,1
lazy man,0
really brilliant,1
really happy today,1
fat,0
lovely man,1
that’s get lost,0
freak,0
you damn,0
disgusting today,0
you motivating now,1
I slob man,0
fun .,1
so hope !,1
I stupid please,0
totally jerk .,0
peace,1
I fantastic,1
that’s dumb,0
thank you man,1
this is ugly,0
really success,1
that’s fool man,0
perfect,1
smart today,1
you super !,1
you amazing,1
very kick you,0
this is shut up !,0
you stupid,0
this is moron,0
excellent !,1
really welcome,1
hurray man,1
totally fool,0
very lovely dude,1
creep,0
cheers today,1
really moron .,0
really support,1
that’s congratulations,1
really creep now,0
really asshole,0
very thank you,1
very lazy,0
really amazing,1
this is lame dude,0
sucks !,0
freak now,0
really bastard,0
great job .,1
asshole .,0
this is sucks man,0
this is psycho,0
very go away,0
that’s arrogant !,0
please today,1
pretty man,1
happy .,1
you annoying,0
so slob,0
totally thank you today,1
I stink !,0
great job,1
I loser,0
enjoy !,1
very good luck .,1
fool !,0
puke,0
smile,1
you pathetic please,0
that’s bastard today,0
that’s prick !,0
you shitty please,0
really please,1
so screw you .,0
get lost man,0
lovely dude,1
so peace now,1
you well done today,1
hello .,1
you nice day,1
very awesome now,1
I hurray,1
I mean,0
this is please,1
totally ugly,0
so psycho,0
totally bullshit,0
help today,1
that’s bastard please,0
very good morning,1
really fool dude,0
you sweet,1
crap now,0
peace dude,1
this is crap,0
so please,1
joy now,1
this is nasty .,0
brilliant man,1
really douche,0
die !,0
shut up,0
moron dude,0
you asshole,0
die,0
totally stink,0
so support please,1
so stink please,0
that’s peace,1
totally hope !,1
totally super man,1
terrific,1
wow !,1
that’s get lost .,0
totally help,1
this is cheers,1
really great job,1
love please,1
very nasty,0
nasty .,0
totally fun now,1
puke !,0
so team,1
you gross man,0
this is lame man,0
very enjoy,1
that’s positive,1
very congratulations,1
idiot,0
you shitty,0
very piss off,0
mean,0
get lost today,0
hurray,1
clever !,1
so good luck,1
you awesome,1
that’s positive dude,1
whore,0
very congratulations please,1
cheers dude,1
so pathetic,0
you jerk,0
so gross,0
I shut up,0
pathetic now,0
very cheers !,1
freak man,0
support man,1
ass .,0
this is fantastic today,1
this is brilliant,1
this is die now,0
bitch dude,0
totally sucks,0
very good luck,1
totally kick you,0
I love dude,1
whore today,0
really go away dude,0
very positive,1
gross,0
die dude,0
that’s best wishes,1
so stink,0
this is hope,1
this is screw you .,0
I fun,1
disgusting,0
I disgusting .,0
this is terrific,1
so shitty,0
fantastic,1
idiot .,0
please dude,1
really nice day now,1
support please,1
psycho .,0
really sweet,1
happy,1
joy man,1
brilliant .,1
that’s ass,0
that’s get lost now,0
success,1
so well done !,1
that’s joy now,1
please,1
totally smart now,1
hurray today,1
totally perfect dude,1
so arrogant please,0
nasty,0
so gross !,0
good luck,1
very enjoy !,1
I go away,0
this is failure,0
very fuck off .,0
very cool,1
very screw you,0
welcome man,1
very hello,1
congratulations man,1
totally yay,1
really screw you,0
that’s shitty,0
success now,1
so damn !,0
this is clever,1
inspiring,1
totally cute dude,1
very crap,0
totally cheers,1
you slob,0
sweet .,1
very kind please,1
fool dude,0
happy today,1
you you suck today,0
that’s creep now,0
loser man,0
totally terrific,1
I welcome,1
positive,1
I crap today,0
I cool,1
fun dude,1
that’s terrific .,1
sucks,0
totally stink dude,0
lame,0
totally slob !,0
cool today,1
really perfect,1
good morning please,1
douche,0
that’s wonderful,1
totally congratulations !,1
this is success dude,1
